translation,ayah_number,surah_number,sentence,en-tafsir-mokhtasar-html
"Will you enjoin good deeds on the others and forget your own selves? You also read the Scriptures, why do you then not understand?",43,2,أَتَأْمُرُونَ ٱلنَّاسَ بِٱلْبِرِّ وَتَنسَوْنَ أَنفُسَكُمْ وَأَنتُمْ تَتْلُونَ ٱلْكِتَٰبَ أَفَلَا تَعْقِلُونَ,"What is more immoral than telling others to have faith and do good when you, upon reading the Torah, turn away from it and forget it yourselves, while knowing that it orders you to follow Allah’s religion and have faith in His prophets? Have you then no sense?"
"Find strength in fortitude and prayer, which is heavy and exacting but for those who are humble and meek,",44,2,وَٱسْتَعِينُوا۟ بِٱلصَّبْرِ وَٱلصَّلَوٰةِ وَإِنَّهَا لَكَبِيرَةٌ إِلَّا عَلَى ٱلْخَٰشِعِينَ,"Ask for help in sacred and worldly affairs, with patience and prayer, which bring you close to Allah and allow you to reach Him, so that He will help you, protect you and take away your difficulties. Prayer is a hardship except for those who are humble to their Lord."
"Who are conscious that they have to meet their Lord, and to Him they have to return.",45,2,ٱلَّذِينَ يَظُنُّونَ أَنَّهُم مُّلَٰقُوا۟ رَبِّهِمْ وَأَنَّهُمْ إِلَيْهِ رَٰجِعُونَ,"The humble are convinced that they will meet their Lord on the Day of Judgement, that they are returning to Him and will be held accountable for their actions."
"Remember, O children of Israel, the favours I bestowed on you, and made you exalted among the nations of the world.",46,2,يَٰبَنِىٓ إِسْرَٰٓءِيلَ ٱذْكُرُوا۟ نِعْمَتِىَ ٱلَّتِىٓ أَنْعَمْتُ عَلَيْكُمْ وَأَنِّى فَضَّلْتُكُمْ عَلَى ٱلْعَٰلَمِينَ,"O Israelites, remember the sacred and worldly blessings which I gave to you, and that I favoured you over all those of your time in terms of prophethood and power."
"Take heed of the day when no man will be useful to man in the least, when no intercession matter nor ransom avail, nor help reach them.",47,2,وَٱتَّقُوا۟ يَوْمًا لَّا تَجْزِى نَفْسٌ عَن نَّفْسٍ شَيْـًٔا وَلَا يُقْبَلُ مِنْهَا شَفَٰعَةٌ وَلَا يُؤْخَذُ مِنْهَا عَدْلٌ وَلَا هُمْ يُنصَرُونَ,"Protect yourselves against the Day of Judgement by following Allah’s instructions and staying away from what He has prohibited. On that day no soul will be able to help another in any way, and no pleading on their behalf will be accepted to benefit them or protect them from harm, except with Allah’s permission, and no ransom will be taken, even if it were to be the earth filled with gold. They will have no helpers on that day. Without appeal, ransom or helper, to where will they turn?"
"Remember, We saved you from the Pharaoh's people who wronged and oppressed you and slew your sons but spared your women: In this was a great favour from your Lord.",48,2,وَإِذْ نَجَّيْنَٰكُم مِّنْ ءَالِ فِرْعَوْنَ يَسُومُونَكُمْ سُوٓءَ ٱلْعَذَابِ يُذَبِّحُونَ أَبْنَآءَكُمْ وَيَسْتَحْيُونَ نِسَآءَكُمْ وَفِى ذَٰلِكُم بَلَآءٌ مِّن رَّبِّكُمْ عَظِيمٌ,"O Israelites! Remember when Allah saved you from the people of Pharaoh, who were tormenting you, slaughtering your sons so you would not survive, and letting your women live so they could serve them, taking great pains to humiliate and insult you. When you were saved from the oppression of Pharaoh and his people, it was a great test for you from your Lord, to see if you would be thankful."
"Remember, We parted the sea and saved you, and drowned the men of Pharaoh before your very eyes.",49,2,وَإِذْ فَرَقْنَا بِكُمُ ٱلْبَحْرَ فَأَنجَيْنَٰكُمْ وَأَغْرَقْنَآ ءَالَ فِرْعَوْنَ وَأَنتُمْ تَنظُرُونَ,"Remember Allah’s favour in saving you when He parted the sea and made it a dry path for you to go through, while drowning your enemies, Pharaoh and his followers, before your very eyes, as you looked on."
"Yet, remember, as We communed with Moses for forty nights you took the calf in his absence (and worshipped it), and you did wrong.",50,2,وَإِذْ وَٰعَدْنَا مُوسَىٰٓ أَرْبَعِينَ لَيْلَةً ثُمَّ ٱتَّخَذْتُمُ ٱلْعِجْلَ مِنۢ بَعْدِهِۦ وَأَنتُمْ ظَٰلِمُونَ,"Also, remember that the forty nights appointed to Moses were from the blessings of Allah, in which the revelation of the Torah, with its light and guidance, was completed. Yet you went and worshipped the calf during that period, which made you into wrongdoers."
"Even so, We pardoned you that you may be grateful.",51,2,ثُمَّ عَفَوْنَا عَنكُم مِّنۢ بَعْدِ ذَٰلِكَ لَعَلَّكُمْ تَشْكُرُونَ,"Then Allah forgave you when you asked for forgiveness, and did not take you to account for it, so that you might be thankful to Him, worshipping Him in the best way and doing as He instructed."
"Remember, We gave Moses the Book and Discernment of falsehood and truth, that you may be guided.",52,2,وَإِذْ ءَاتَيْنَا مُوسَى ٱلْكِتَٰبَ وَٱلْفُرْقَانَ لَعَلَّكُمْ تَهْتَدُونَ,"Also, remember that Allah’s giving Moses (peace be upon him) the Torah as a criterion between truth and falsehood, discriminating between guidance and misguidance, so that you might be guided to the truth through it, were from the blessings of Allah."
"Remember, Moses said: ""My people, by taking this calf you have done yourselves harm, so now turn to your Creator in repentance, and kill your pride, which is better with your Lord."" And (the Lord) softened towards you, for He is all-forgiving and merciful.",53,2,وَإِذْ قَالَ مُوسَىٰ لِقَوْمِهِۦ يَٰقَوْمِ إِنَّكُمْ ظَلَمْتُمْ أَنفُسَكُم بِٱتِّخَاذِكُمُ ٱلْعِجْلَ فَتُوبُوٓا۟ إِلَىٰ بَارِئِكُمْ فَٱقْتُلُوٓا۟ أَنفُسَكُمْ ذَٰلِكُمْ خَيْرٌ لَّكُمْ عِندَ بَارِئِكُمْ فَتَابَ عَلَيْكُمْ إِنَّهُۥ هُوَ ٱلتَّوَّابُ ٱلرَّحِيمُ,"Also, remember that Allah’s allowing you to ask His forgiveness for worshipping the calf, when Moses (peace be upon him) told you that you had wronged yourselves by taking the calf as a god and worshipping it, were from the blessings of Allah. Moses told you to ask for forgiveness and repent to your Creator by some of you killing others, because turning to Him in this way was better for you than persisting in disbelief, which would lead to an eternity in the fire of Hell. So, you did this with Allah’s approval, and He forgave you, for He is Forgiving and Merciful with His servants."
"Remember, when you said to Moses: ""We shall not believe in you until we see God face to face,"" lightning struck you as you looked.",54,2,وَإِذْ قُلْتُمْ يَٰمُوسَىٰ لَن نُّؤْمِنَ لَكَ حَتَّىٰ نَرَى ٱللَّهَ جَهْرَةً فَأَخَذَتْكُمُ ٱلصَّٰعِقَةُ وَأَنتُمْ تَنظُرُونَ,"Also, remember when you shamelessly addressed Moses (peace be upon him), saying that you would not believe him until you saw Allah with your own eyes, in the open before you, and the lightning struck you and killed you, whilst some of you looked at the others."
Even then We revived you after you had become senseless that you might give thanks;,55,2,ثُمَّ بَعَثْنَٰكُم مِّنۢ بَعْدِ مَوْتِكُمْ لَعَلَّكُمْ تَشْكُرُونَ,Then He brought you back to life after death so that you might be thankful to Him for the blessings He granted you in this way.
"And made the cloud spread shade over you, and sent for you manna and quails that you may eat of the good things We have made for you. No harm was done to Us, they only harmed themselves.",56,2,وَظَلَّلْنَا عَلَيْكُمُ ٱلْغَمَامَ وَأَنزَلْنَا عَلَيْكُمُ ٱلْمَنَّ وَٱلسَّلْوَىٰ كُلُوا۟ مِن طَيِّبَٰتِ مَا رَزَقْنَٰكُمْ وَمَا ظَلَمُونَا وَلَٰكِن كَانُوٓا۟ أَنفُسَهُمْ يَظْلِمُونَ,"Another of Allah’s blessings was that He sent clouds to shade you from the heat of the sun when you were wandering the earth; and He sent down manna, a sweet drink similar to honey, and quails for you, telling you to consume of the good things He had provided you with. Their ingratitude and disbelief for these blessings did not affect Allah in any way, but they wronged themselves, losing their share from the good they had done and exposing themselves to suffering."
"And remember, We said to you: ""Enter this city, eat wherever you like, as much as you please, but pass through the gates in humility and say: 'May our sins be forgiven.' We shall forgive your trespasses and give those who do good abundance.",57,2,وَإِذْ قُلْنَا ٱدْخُلُوا۟ هَٰذِهِ ٱلْقَرْيَةَ فَكُلُوا۟ مِنْهَا حَيْثُ شِئْتُمْ رَغَدًا وَٱدْخُلُوا۟ ٱلْبَابَ سُجَّدًا وَقُولُوا۟ حِطَّةٌ نَّغْفِرْ لَكُمْ خَطَٰيَٰكُمْ وَسَنَزِيدُ ٱلْمُحْسِنِينَ,"Remember, from Allah’s blessings upon you, when He told you to enter Jerusalem and abundantly consume, with ease, from the good things in it from any place you wanted. He told you to prostrate in humility to Him when you entered, asking Him to remove your sins, so that He might answer you, and increase those who do good actions, rewarding them in this way."
